ticker,company_name,data_available,has_extract_adapter
2418,ツカダグローバルＨＤ,False,True
2424,ブラス,False,True
2429,ワールドＨＤ,False,True
2433,博報堂ＤＹ,False,True
2437,シンワワイズ,False,True
2445,タカミヤ,True,True
2464,Ａｏｂａ‐ＢＢＴ,False,True
2467,ＶＬＣセキュリティ,False,True
246A,Ｇ－アスア,False,True
2471,エスプール,True,True
2488,ＪＴＰ,False,True
2489,ＡＤＷＡＹＳ,False,True
248A,Ｇ－キッズスター,False,True
2492,インフォマート,False,True
2498,オリコンＨＤ,True,True
253A,ＥＴＳグループ,True,True
255A,ジーエルテクノＨＤ,True,True
256A,飛島ＨＤ,True,True
2585,ライフドリンクＣ,False,True
2590,ＤｙＤｏ,False,True
259A,ケイ・ウノ,False,True
261A,日水コン,True,True
265A,Ｇ－エイチエムコム,False,True
2676,高千穂交,True,True
2687,ＣＶＳベイ,False,True
268A,リガク,False,True
2734,サーラ,True,True
275A,ハンワホームズ,False,True
2760,東エレデバ,True,True
2767,円谷フィールズＨＤ,False,True
276A,Ｇ－ククレブ,False,True
2780,コメ兵ＨＤ,False,True
278A,Ｇ－テラドローン,False,True
2809,キユーピー,False,True
280A,Ｇ－ＴＭＨ,False,True
2813,和弘食品,False,True
281A,Ｇ－インフォメティス,False,True
284A,Ｐ－フクヤ建設,False,True
287A,黒田グループ,False,True
2901,ウェルディッシュ,False,True
290A,Ｇ－Ｓｙｎｓ,True,True
2914,ＪＴ,False,True
2916,仙波糖化,False,True
2931,ユーグレナ,True,True
2934,Ｇ－Ｊフロンティア,False,True
2970,グッドライフＣ,True,True
2974,大英産業,False,True
2975,スター・マイカＨＤ,False,True
2980,ＳＲＥＨＤ,False,True
2981,Ｇ－ランディックス,False,True
2983,Ｇ－アールプランナー,False,True
2984,ヤマイチ,False,True
2986,Ｇ－ＬＡＨＤ,False,True
2990,Ｐ－アイダ設計,True,True
2992,Ｐ－アーバンライク,False,True
2998,Ｇ－クリアル,False,True
3010,ポラリスＨＤ,False,True
3021,ＰＣＮＥＴ,False,True
302A,Ｇ－ビースタイルＨＤ,False,True
3031,ラクーンＨＤ,False,True
3038,神戸物産,False,True
304A,Ｇ－フォルシア,False,True
3071,ストリーム,False,True
3089,テクノアルファ,True,True
3104,富士紡ＨＤ,False,True
3105,日清紡ＨＤ,False,True
3106,クラボウ,False,True
3107,ダイワボＨＤ,False,True
3113,ＵＮＩＶＡ・Ｏａｋ,False,True
3132,マクニカＨＤ,True,True
3134,Ｈａｍｅｅ,False,True
3135,マーケットエンター,False,True
3137,Ｇ－ファンデリー,False,True
3138,Ｇ－富士山マガジン,False,True
3159,丸善ＣＨＩ,False,True
3173,Ｃｏｍｉｎｉｘ,False,True
3180,ビューティガレージ,False,True
3185,Ｇ－夢展望,False,True
3195,Ｇ－ジェネパ,False,True
3197,すかいらーくＨＤ,False,True
319A,Ｇ－技術承継機構,False,True
3204,トーア紡,False,True
3232,三重交通ＧＨＤ,True,True
3236,プロパスト,False,True
3237,Ｇ－イントランス,True,True
3241,ウィル,True,True
3242,アーバネット,False,True
3245,ディア・ライフ,False,True
3246,コーセーアールイー,True,True
324A,Ｇ－ブッキングＲ,False,True
3252,地主,False,True
3254,プレサンス,True,True
3267,フィル・カンパニー,True,True
3276,ＪＰＭＣ,False,True
3280,エストラスト,True,True
3284,フージャース,False,True
3288,オープンハウスＧ,False,True
3293,アズマハウス,False,True
3299,ムゲンエステート,False,True
3302,帝繊維,True,True
330A,Ｇ－ＴａｌｅｎｔＸ,False,True
3321,ミタチ,False,True
3323,レカム,True,True
332A,Ｇ－ミーク,False,True
334A,Ｇ－ＶＰＪ,False,True
3360,シップＨＤ,False,True
336A,Ｇ－ダイナミクマップ,False,True
3377,バイク王,False,True
338A,Ｇ－Ｚｅｎｍｕ,False,True
3393,スターティアＨＤ,False,True
339A,Ｇ－プログレス,False,True
3407,旭化成,True,True
340A,Ｇ－ジグザグ,False,True
3416,ピクスタ,False,True
341A,Ｇ－トヨコー,True,True
3420,ケー・エフ・シー,True,True
3422,Ｊ－ＭＡＸ,False,True
3423,エスイー,False,True
3431,宮地エンジ,True,True
3433,トーカロ,True,True
3440,日創グループ,True,True
3443,川田ＴＥＣＨ,True,True
3446,ＪＴＥＣＣＯＲＰ,False,True
3447,信和,False,True
3449,テクノフレックス,False,True
3450,Ｐ－サトウ産業,True,True
3452,ビーロット,False,True
3457,Ａｎｄ　Ｄｏ　ＨＬＤ,False,True
3458,シーアールイー,False,True
3461,Ｇ－パルマ,False,True
3463,Ｒ－いちごホテル,False,True
3465,ケイアイスター不動産,False,True
3467,アグレ都市デザイン,True,True
3469,デュアルタップ,False,True
3475,グッドコムアセット,False,True
3477,Ｇ－フォーライフ,True,True
3482,ロードスター,False,True
3486,グローバルリンクＭ,False,True
3489,フェイスネットワーク,False,True
3490,アズ企画設計,False,True
3496,アズーム,False,True
3497,Ｇ－ＬｅＴｅｃｈ,True,True
3498,霞ヶ関キャピタル,False,True
350A,Ｇ－デジタルグリッド,False,True
3526,芦森工,True,True
3537,昭栄薬品,False,True
3538,ウイルプラスＨＤ,False,True
3540,Ｃｉメディカル,False,True
3541,Ｇ－農業総合研究所,False,True
3556,Ｇ－リネットジャパン,False,True
3565,アセンテック,False,True
3566,Ｇ－ユニネク,False,True
3580,小松マテーレ,False,True
3611,マツオカ,False,True
3625,Ｇ－テックファーム,False,True
3626,ＴＩＳ,True,True
3627,テクミラ,False,True
3628,Ｇ－データＨＲ,False,True
3633,ＧＭＯペパボ,False,True
3634,ソケッツ,False,True
3636,三菱総研,True,True
3640,電算,True,True
3649,ファインデックス,True,True
3652,Ｇ－ＤＭＰ,False,True
3655,ブレインパッド,False,True
3663,セルシス,False,True
3670,協立情報通信,True,True
3671,Ｇ－ソフトＭＡＸ,True,True
3674,Ｇ－オークファン,False,True
3675,クロスマーケティング,False,True
3676,デジハＨＤ,False,True
3679,じげん,True,True
3683,サイバーリンクス,False,True
3686,ＤＬＥ,False,True
3690,イルグルム,True,True
3691,Ｇ－デジタルプラス,False,True
3696,セレス,True,True
3697,ＳＨＩＦＴ,False,True
3708,特種東海,False,True
3712,情報企画,False,True
3733,ソフトウェアＳ,True,True
