TICKER,COMPANY_NAME,IR_URL_CURRENT,SHIKIHO_HP_URL,MONTHLY_ITEMS,STRUCTURE_SOURCE,HAS_STRUCTURE_JSON
2678,アスクル,https://www.askul.co.jp/corp/investor/,,,,N
2702,日本マクドナルドホールディングス,https://www.nikkei.com/nkd/company/kigyo/?scode=2702,,,,N
3649,ファインデックス,https://findex.co.jp/ir/,,,,N
3691,デジタルプラス,https://digital-plus.co.jp/ir,,,,N
4177,i-plug,https://i-plug.co.jp/ir/,,,,N
4523,エーザイ,https://www.eisai.co.jp/ir/,,,,N
4666,パーク24,https://www.park24.co.jp/ir/financial/monthly.html,,,,N
4680,ラウンドワン,https://www.round1.co.jp/company/ir/sales.html,,,,N
4732,ユー・エス・エス,https://www.ussnet.co.jp/ir/library/monthly/index.html,,,,N
4889,レナサイエンス,https://www.renascience.co.jp/ir/,,,,N
4890,坪田ラボ,https://tsubota-lab.com/ir/,,,,N
5589,オートサーバー,https://www.autoserver.co.jp/ir/,,,,N
5888,DAIWA CYCLE,https://www.daiwa-cycle.co.jp/ir/,,,,N
6071,IBJ,https://www.ibjapan.jp/ir,,,,N
6073,アサンテ,https://www.asante.co.jp/ir/,,,,N
6146,ディスコ,https://www.disco.co.jp/jp/ir/,,,,N
6425,ユニバーサルエンターテインメント,https://www.universal-777.co.jp/ir/library/,,,,N
6535,アイモバイル,https://www.i-mobile.co.jp/ir/index.html,,,,N
6627,テラプローブ,https://www.teraprobe.com/ir/,,,,N
7157,ライフネット生命保険,https://ir.lifenet-seimei.co.jp/ja/ir/financial/monthly.html,,,,N
7162,アストマックス,https://www.astmax.co.jp/ir/,,,,N
7175,今村証券,,,,,N
7177,GMOフィナンシャルホールディングス,https://www.gmofh.com/ir/monthly_report.html,,,,N
7198,SBIアルヒ,https://www.sbiaruhi-group.jp/english/ir,,,,N
7326,SBIインシュアランスグループ,https://www.sbiig.co.jp/ir/,,,,N
7455,パリミキホールディングス,https://www.paris-miki.com/hd/investor/,,,,N
7545,西松屋チェーン,https://www.24028.jp/ir/,,,,N
8255,アクシアル リテイリング,https://www.axial-r.com/ir,,,,N
8613,丸三証券,https://www.marusan-sec.co.jp/ir/,,,,N
8614,東洋証券,https://www.toyo-sec.co.jp/ir/,,,,N
8622,水戸証券,https://www.mito.co.jp/inquiry/ir.html,,,,N
8624,いちよし証券,https://www.ichiyoshi.co.jp/stockholder,,,,N
8628,松井証券,https://www.matsui.co.jp/company/ir/disclosure/business/,,,,N
8700,丸八証券,,,,,N
8706,極東証券,https://www.kyokuto-sec.co.jp/ir/,,,,N
8707,岩井コスモホールディングス,https://www.iwaicosmo-hd.jp/ir/,,,,N
8708,アイザワ証券グループ,https://www.aizawa.co.jp/ir/,,,,N
8739,スパークス・グループ,https://www.sparx.jp/ir/,,,,N
8742,小林洋行,https://www.kobayashiyoko.com/ir/,,,,N
8975,いちごオフィスリート投資法人,https://www.ichigo-office.co.jp/ir/,,,,N
9904,ベリテ,https://www.verite.jp/aboutus/irinfo.html,,,,N
