TICKER,COMPANY_NAME,GAP_TYPE,DETAIL
7545,(株)西松屋チェーン,B,BQ有・月次カテゴリなし（業績予想）
7550,(株)ゼンショーホールディングス,B,BQ有・月次カテゴリなし（決算短信）
7554,(株)幸楽苑,B,"BQ有・月次カテゴリなし（決算短信, その他（未分類）, 役員異動（代表クラス））"
7561,(株)ハークスレイ,B,"BQ有・月次カテゴリなし（決算短信, 決算説明資料, 業績修正）"
7562,(株)安楽亭,B,"BQ有・月次カテゴリなし（決算短信, 株式分割・併合）"
7577,,D,GCS月次PDFなし（ダウンロード不備）
7581,(株)サイゼリヤ,B,"BQ有・月次カテゴリなし（自己株式取得, 新株予約権発行）"
7596,(株)魚力,B,BQ有・月次カテゴリなし（決算短信）
7599,(株)ＩＤＯＭ,B,BQ有・月次カテゴリなし（株主優待）
7601,(株)ポプラ,D,GCS月次PDFなし（ダウンロード不備）
7603,ジーイエット,B,"BQ有・月次カテゴリなし（第三者割当・公募増資, 提携・協業, 子会社化・買収, 業績修正）"
7604,(株)梅の花グループ,B,BQ有・月次カテゴリなし（特別利益）
7605,,D,GCS月次PDFなし（ダウンロード不備）
7611,(株)ハイデイ日高,B,BQ有・月次カテゴリなし（その他（未分類））
7615,(株)京都きもの友禅ホールディングス,B,"BQ有・月次カテゴリなし（決算短信, 第三者割当・公募増資, 業績修正）"
7616,(株)コロワイド,B,"BQ有・月次カテゴリなし（決算短信, 子会社化・買収, 業績修正）"
7618,,D,GCS月次PDFなし（ダウンロード不備）
7621,(株)うかい,B,"BQ有・月次カテゴリなし（決算短信, 子会社設立）"
7630,(株)壱番屋,D,GCS月次PDFなし（ダウンロード不備）
7636,(株)ハンズマン,B,"BQ有・月次カテゴリなし（決算短信, その他（未分類）, 業績修正）"
7643,(株)ダイイチ,B,"BQ有・月次カテゴリなし（決算短信, その他（未分類））"
7646,(株)ＰＬＡＮＴ,B,"BQ有・月次カテゴリなし（決算短信, TOB・MBO）"
7678,(株)あさくま,B,BQ有・月次カテゴリなし（その他（未分類））
7682,(株)浜木綿,B,"BQ有・月次カテゴリなし（決算短信, 特別損失）"
7805,プリントネット,B,BQ有・月次カテゴリなし（決算説明資料）
7816,,D,GCS月次PDFなし（ダウンロード不備）
8000,,D,GCS月次PDFなし（ダウンロード不備）
8008,４℃ホールディングス,D,GCS月次PDFなし（ダウンロード不備）
8011,(株)三陽商会,B,"BQ有・月次カテゴリなし（自己株式取得, 業績修正, 主要株主異動, 特別利益, 特別損益計上）"
8028,,D,GCS月次PDFなし（ダウンロード不備）
8029,(株)ルックホールディングス,B,"BQ有・月次カテゴリなし（子会社化・買収, 決算短信）"
8040,(株)東京ソワール,B,"BQ有・月次カテゴリなし（買収防衛策, 決算短信, 決算説明資料, 業績修正, その他（未分類））"
8153,(株)モスフードサービス,B,"BQ有・月次カテゴリなし（決算短信, 合併・組織再編, 業績修正）"
8160,(株)木曽路,D,GCS月次PDFなし（ダウンロード不備）
8163,ＳＲＳホールディングス,B,"BQ有・月次カテゴリなし（決算説明資料, 決算短信）"
8165,(株)千趣会,B,"BQ有・月次カテゴリなし（決算短信, 決算説明資料, 株主優待）"
8167,(株)リテールパートナーズ,D,GCS月次PDFなし（ダウンロード不備）
8168,,D,GCS月次PDFなし（ダウンロード不備）
8173,上新電機,B,"BQ有・月次カテゴリなし（決算短信, 決算説明資料）"
8174,日本瓦斯,B,"BQ有・月次カテゴリなし（決算説明資料, 決算短信, 自己株式取得）"
8179,ロイヤルホールディングス,B,"BQ有・月次カテゴリなし（決算説明資料, 決算短信, 役員異動（代表クラス）, 配当, その他（未分類））"
8182,,D,GCS月次PDFなし（ダウンロード不備）
8184,,D,GCS月次PDFなし（ダウンロード不備）
8185,(株)チヨダ,D,GCS月次PDFなし（ダウンロード不備）
8194,(株)ライフコーポレーション,D,GCS月次PDFなし（ダウンロード不備）
8198,マックスバリュ東海,B,BQ有・月次カテゴリなし（業績予想）
8207,テンアライド,B,BQ有・月次カテゴリなし（決算短信）
8209,(株)フレンドリー,B,"BQ有・月次カテゴリなし（株式分割・併合, 決算短信, 業績修正, 自己株式消却, 特別損失, 特別損益計上）"
8214,(株)ＡＯＫＩホールディングス,B,"BQ有・月次カテゴリなし（決算説明資料, 決算短信）"
8217,(株)オークワ,D,GCS月次PDFなし（ダウンロード不備）
8218,(株)コメリ,D,GCS月次PDFなし（ダウンロード不備）
8227,(株)しまむら,B,BQ有・月次カテゴリなし（自己株式取得）
8230,(株)はせがわ,B,BQ有・月次カテゴリなし（決算短信）
8233,(株)高島屋,B,"BQ有・月次カテゴリなし（業績修正, 転換社債(CB)発行, 自己株式消却, その他（未分類）, 役員異動（代表クラス））"
8237,(株)松屋,B,BQ有・月次カテゴリなし（その他（未分類））
8242,エイチ・ツー・オー リテイリング,B,"BQ有・月次カテゴリなし（決算説明資料, 決算短信, 株主優待, 役員異動（代表クラス））"
8244,(株)近鉄百貨店,B,BQ有・月次カテゴリなし（その他（未分類））
8252,(株)丸井グループ,B,"BQ有・月次カテゴリなし（決算説明資料, 決算短信, 自己株式取得）"
8253,(株)クレディセゾン,B,BQ有・月次カテゴリなし（決算短信）
8254,(株)さいか屋,B,BQ有・月次カテゴリなし（第三者割当・公募増資）
8255,アクシアル リテイリング,D,GCS月次PDFなし（ダウンロード不備）
8260,(株)井筒屋,D,GCS月次PDFなし（ダウンロード不備）
8267,イオン,B,"BQ有・月次カテゴリなし（その他（未分類）, TOB・MBO, 株主優待）"
8273,(株)イズミ,D,GCS月次PDFなし（ダウンロード不備）
8276,(株)平和堂,D,GCS月次PDFなし（ダウンロード不備）
8278,(株)フジ,B,BQ有・月次カテゴリなし（役員異動（代表クラス））
8279,,D,GCS月次PDFなし（ダウンロード不備）
8281,ゼビオホールディングス,B,BQ有・月次カテゴリなし（決算短信）
8282,(株)ケーズホールディングス,B,"BQ有・月次カテゴリなし（決算短信, 自己株式消却）"
8287,,D,GCS月次PDFなし（ダウンロード不備）
8289,(株)Ｏｌｙｍｐｉｃグループ,B,BQ有・月次カテゴリなし（役員異動（代表クラス））
8306,(株)三菱ＵＦＪフィナンシャル・グループ,B,"BQ有・月次カテゴリなし（決算短信, その他（未分類）, 自己株式取得, 役員異動（代表クラス））"
8316,(株)三井住友フィナンシャルグループ,B,"BQ有・月次カテゴリなし（決算短信, その他（未分類）, 自己株式取得, 役員異動（代表クラス））"
8508,Ｊトラスト,B,"BQ有・月次カテゴリなし（決算短信, 決算説明資料, その他（未分類）, 自己株式取得, 株主優待）"
8511,日本証券金融,B,"BQ有・月次カテゴリなし（決算短信, 自己株式取得, 役員異動（代表クラス）, 配当変更（増減配）, 配当変更, 業績修正）"
8515,アイフル,B,"BQ有・月次カテゴリなし（決算短信, その他（未分類））"
8566,リコーリース,B,"BQ有・月次カテゴリなし（その他（未分類）, 決算短信, 株主優待）"
8570,イオンフィナンシャルサービス,B,"BQ有・月次カテゴリなし（その他（未分類）, 合併・組織再編）"
8572,アコム,B,BQ有・月次カテゴリなし（決算短信）
8604,野村ホールディングス,B,"BQ有・月次カテゴリなし（決算短信, その他（未分類）, 子会社化・買収, 自己株式取得, 自己株式消却）"
8630,ＳＯＭＰＯホールディングス,B,"BQ有・月次カテゴリなし（その他（未分類）, 決算短信, TOB・MBO, 役員異動（代表クラス）, 自己株式取得, 子会社化・買収）"
8698,マネックスグループ,B,"BQ有・月次カテゴリなし（決算説明資料, その他（未分類））"
8704,トレイダーズホールディングス,B,"BQ有・月次カテゴリなし（決算短信, 決算説明資料, 業績修正）"
