TICKER,COMPANY_NAME,GAP_TYPE,DETAIL
9843,(株)ニトリホールディングス,B,BQ有・月次カテゴリなし（決算短信）
9850,(株)グルメ杵屋,B,"BQ有・月次カテゴリなし（決算短信, 業績修正）"
9854,愛眼,B,BQ有・月次カテゴリなし（決算短信）
9861,(株)吉野家ホールディングス,D,GCS月次PDFなし（ダウンロード不備）
9873,,D,GCS月次PDFなし（ダウンロード不備）
9876,(株)コックス,B,BQ有・月次カテゴリなし（業績予想）
9878,(株)セキド,B,"BQ有・月次カテゴリなし（決算短信, 第三者割当・公募増資, 業績予想, 業績修正）"
9887,(株)松屋フーズホールディングス,B,"BQ有・月次カテゴリなし（決算短信, 第三者割当・公募増資, 株式売出し, 業績修正）"
9900,(株)サガミホールディングス,B,BQ有・月次カテゴリなし（決算短信）
9904,(株)ベリテ,B,"BQ有・月次カテゴリなし（決算短信, 業績予想）"
9945,,D,GCS月次PDFなし（ダウンロード不備）
9946,ミニストップ,D,GCS月次PDFなし（ダウンロード不備）
9948,(株)アークス,B,"BQ有・月次カテゴリなし（業績修正, 配当変更（増減配）, 配当変更）"
9962,(株)ミスミグループ本社,B,"BQ有・月次カテゴリなし（決算短信, 業績修正, 自己株式取得, その他（未分類）, 役員異動（代表クラス））"
9966,,D,GCS月次PDFなし（ダウンロード不備）
9974,(株)ベルク,B,BQ有・月次カテゴリなし（主要株主異動）
9979,(株)大庄,D,GCS月次PDFなし（ダウンロード不備）
9983,(株)ファーストリテイリング,D,GCS月次PDFなし（ダウンロード不備）
9989,(株)サンドラッグ,B,BQ有・月次カテゴリなし（決算短信）
9993,(株)ヤマザワ,D,GCS月次PDFなし（ダウンロード不備）
9994,(株)やまや,B,BQ有・月次カテゴリなし（決算短信）
