TICKER,CODE5,NAME,SOURCE,FETCHED_AT_JST
6503,65030,三菱電機,wikipedia_ja,2026-04-11 23:43:54
6504,65040,富士電機,wikipedia_ja,2026-04-11 23:43:54
6506,65060,安川電機,wikipedia_ja,2026-04-11 23:43:54
6526,65260,ソシオネクスト,wikipedia_ja,2026-04-11 23:43:54
6645,66450,オムロン,wikipedia_ja,2026-04-11 23:43:54
6701,67010,日本電気,wikipedia_ja,2026-04-11 23:43:54
6702,67020,富士通,wikipedia_ja,2026-04-11 23:43:54
6723,67230,ルネサスエレクトロニクス,wikipedia_ja,2026-04-11 23:43:54
6724,67240,セイコーエプソン,wikipedia_ja,2026-04-11 23:43:54
6752,67520,パナソニックホールディングス,wikipedia_ja,2026-04-11 23:43:54
6753,67530,シャープ,wikipedia_ja,2026-04-11 23:43:54
6758,67580,ソニーグループ,wikipedia_ja,2026-04-11 23:43:54
6762,67620,TDK,wikipedia_ja,2026-04-11 23:43:54
6770,67700,アルプスアルパイン,wikipedia_ja,2026-04-11 23:43:54
6841,68410,横河電機,wikipedia_ja,2026-04-11 23:43:54
6857,68570,アドバンテスト,wikipedia_ja,2026-04-11 23:43:54
6861,68610,キーエンス,wikipedia_ja,2026-04-11 23:43:54
6902,69020,デンソー,wikipedia_ja,2026-04-11 23:43:54
6920,69200,レーザーテック,wikipedia_ja,2026-04-11 23:43:54
6954,69540,ファナック,wikipedia_ja,2026-04-11 23:43:54
6963,69630,ローム,wikipedia_ja,2026-04-11 23:43:54
6971,69710,京セラ,wikipedia_ja,2026-04-11 23:43:54
6976,69760,太陽誘電,wikipedia_ja,2026-04-11 23:43:54
6981,69810,村田製作所,wikipedia_ja,2026-04-11 23:43:54
7735,77350,SCREENホールディングス,wikipedia_ja,2026-04-11 23:43:54
7751,77510,キヤノン,wikipedia_ja,2026-04-11 23:43:54
7752,77520,リコー,wikipedia_ja,2026-04-11 23:43:54
8035,80350,東京エレクトロン,wikipedia_ja,2026-04-11 23:43:54
7012,70120,川崎重工業,wikipedia_ja,2026-04-11 23:43:54
0543,05430,ARCHION,wikipedia_ja,2026-04-11 23:43:54
7201,72010,日産自動車,wikipedia_ja,2026-04-11 23:43:54
7202,72020,いすゞ自動車,wikipedia_ja,2026-04-11 23:43:54
7203,72030,トヨタ自動車,wikipedia_ja,2026-04-11 23:43:54
7211,72110,三菱自動車工業,wikipedia_ja,2026-04-11 23:43:54
7261,72610,マツダ,wikipedia_ja,2026-04-11 23:43:54
7267,72670,本田技研工業,wikipedia_ja,2026-04-11 23:43:54
7269,72690,スズキ,wikipedia_ja,2026-04-11 23:43:54
7270,72700,SUBARU,wikipedia_ja,2026-04-11 23:43:54
7272,72720,ヤマハ発動機,wikipedia_ja,2026-04-11 23:43:54
4543,45430,テルモ,wikipedia_ja,2026-04-11 23:43:54
4902,49020,コニカミノルタ,wikipedia_ja,2026-04-11 23:43:54
6146,61460,ディスコ,wikipedia_ja,2026-04-11 23:43:54
7731,77310,ニコン,wikipedia_ja,2026-04-11 23:43:54
7733,77330,オリンパス,wikipedia_ja,2026-04-11 23:43:54
7741,77410,HOYA,wikipedia_ja,2026-04-11 23:43:54
7832,78320,バンダイナムコホールディングス,wikipedia_ja,2026-04-11 23:43:54
7911,79110,TOPPANホールディングス,wikipedia_ja,2026-04-11 23:43:54
7912,79120,大日本印刷,wikipedia_ja,2026-04-11 23:43:54
7951,79510,ヤマハ,wikipedia_ja,2026-04-11 23:43:54
1332,13320,ニッスイ,wikipedia_ja,2026-04-11 23:43:54
1605,16050,INPEX,wikipedia_ja,2026-04-11 23:43:54
1721,17210,コムシスホールディングス,wikipedia_ja,2026-04-11 23:43:54
1801,18010,大成建設,wikipedia_ja,2026-04-11 23:43:54
1802,18020,大林組,wikipedia_ja,2026-04-11 23:43:54
1803,18030,清水建設,wikipedia_ja,2026-04-11 23:43:54
1808,18080,長谷工コーポレーション,wikipedia_ja,2026-04-11 23:43:54
1812,18120,鹿島建設,wikipedia_ja,2026-04-11 23:43:54
1925,19250,大和ハウス工業,wikipedia_ja,2026-04-11 23:43:54
1928,19280,積水ハウス,wikipedia_ja,2026-04-11 23:43:54
1963,19630,日揮ホールディングス,wikipedia_ja,2026-04-11 23:43:54
2768,27680,双日,wikipedia_ja,2026-04-11 23:43:54
8001,80010,伊藤忠商事,wikipedia_ja,2026-04-11 23:43:54
8002,80020,丸紅,wikipedia_ja,2026-04-11 23:43:54
8015,80150,豊田通商,wikipedia_ja,2026-04-11 23:43:54
8031,80310,三井物産,wikipedia_ja,2026-04-11 23:43:54
8053,80530,住友商事,wikipedia_ja,2026-04-11 23:43:54
8058,80580,三菱商事,wikipedia_ja,2026-04-11 23:43:54
3086,30860,J.フロント リテイリング,wikipedia_ja,2026-04-11 23:43:54
3092,30920,ZOZO,wikipedia_ja,2026-04-11 23:43:54
3099,30990,三越伊勢丹ホールディングス,wikipedia_ja,2026-04-11 23:43:54
3382,33820,セブン&アイ・ホールディングス,wikipedia_ja,2026-04-11 23:43:54
7453,74530,良品計画,wikipedia_ja,2026-04-11 23:43:54
7532,75320,パン・パシフィック・インターナショナルホールディングス,wikipedia_ja,2026-04-11 23:43:54
8233,82330,髙島屋,wikipedia_ja,2026-04-11 23:43:54
8252,82520,丸井グループ,wikipedia_ja,2026-04-11 23:43:54
8267,82670,イオン,wikipedia_ja,2026-04-11 23:43:54
9843,98430,ニトリホールディングス,wikipedia_ja,2026-04-11 23:43:54
9983,99830,ファーストリテイリング,wikipedia_ja,2026-04-11 23:43:54
5831,58310,しずおかフィナンシャルグループ,wikipedia_ja,2026-04-11 23:43:54
7186,71860,横浜フィナンシャルグループ,wikipedia_ja,2026-04-11 23:43:54
8304,83040,あおぞら銀行,wikipedia_ja,2026-04-11 23:43:54
8306,83060,三菱UFJフィナンシャル・グループ,wikipedia_ja,2026-04-11 23:43:54
8308,83080,りそなホールディングス,wikipedia_ja,2026-04-11 23:43:54
8309,83090,三井住友トラスト・ホールディングス,wikipedia_ja,2026-04-11 23:43:54
8316,83160,三井住友フィナンシャルグループ,wikipedia_ja,2026-04-11 23:43:54
8331,83310,千葉銀行,wikipedia_ja,2026-04-11 23:43:54
8354,83540,ふくおかフィナンシャルグループ,wikipedia_ja,2026-04-11 23:43:54
8411,84110,みずほフィナンシャルグループ,wikipedia_ja,2026-04-11 23:43:54
8601,86010,大和証券グループ本社,wikipedia_ja,2026-04-11 23:43:54
8604,86040,野村ホールディングス,wikipedia_ja,2026-04-11 23:43:54
8630,86300,SOMPOホールディングス,wikipedia_ja,2026-04-11 23:43:54
8725,87250,MS&ADインシュアランスグループホールディングス,wikipedia_ja,2026-04-11 23:43:54
8750,87500,第一ライフグループ,wikipedia_ja,2026-04-11 23:43:54
8766,87660,東京海上ホールディングス,wikipedia_ja,2026-04-11 23:43:54
8795,87950,T&Dホールディングス,wikipedia_ja,2026-04-11 23:43:54
8253,82530,クレディセゾン,wikipedia_ja,2026-04-11 23:43:54
8591,85910,オリックス,wikipedia_ja,2026-04-11 23:43:54
8697,86970,日本取引所グループ,wikipedia_ja,2026-04-11 23:43:54
3289,32890,東急不動産ホールディングス,wikipedia_ja,2026-04-11 23:43:54
8801,88010,三井不動産,wikipedia_ja,2026-04-11 23:43:54
8802,88020,三菱地所,wikipedia_ja,2026-04-11 23:43:54
8804,88040,東京建物,wikipedia_ja,2026-04-11 23:43:54
8830,88300,住友不動産,wikipedia_ja,2026-04-11 23:43:54
9001,90010,東武鉄道,wikipedia_ja,2026-04-11 23:43:54
9005,90050,東急,wikipedia_ja,2026-04-11 23:43:54
9007,90070,小田急電鉄,wikipedia_ja,2026-04-11 23:43:54
9008,90080,京王電鉄,wikipedia_ja,2026-04-11 23:43:54
9009,90090,京成電鉄,wikipedia_ja,2026-04-11 23:43:54
9020,90200,東日本旅客鉄道,wikipedia_ja,2026-04-11 23:43:54
9021,90210,西日本旅客鉄道,wikipedia_ja,2026-04-11 23:43:54
9022,90220,東海旅客鉄道,wikipedia_ja,2026-04-11 23:43:54
9064,90640,ヤマトホールディングス,wikipedia_ja,2026-04-11 23:43:54
9147,91470,NIPPON EXPRESSホールディングス,wikipedia_ja,2026-04-11 23:43:54
9101,91010,日本郵船,wikipedia_ja,2026-04-11 23:43:54
9104,91040,商船三井,wikipedia_ja,2026-04-11 23:43:54
9107,91070,川崎汽船,wikipedia_ja,2026-04-11 23:43:54
9201,92010,日本航空,wikipedia_ja,2026-04-11 23:43:54
9202,92020,ANAホールディングス,wikipedia_ja,2026-04-11 23:43:54
9432,94320,NTT,wikipedia_ja,2026-04-11 23:43:54
9433,94330,KDDI,wikipedia_ja,2026-04-11 23:43:54
9434,94340,ソフトバンク,wikipedia_ja,2026-04-11 23:43:54
9984,99840,ソフトバンクグループ,wikipedia_ja,2026-04-11 23:43:54
9501,95010,東京電力ホールディングス,wikipedia_ja,2026-04-11 23:43:54
9502,95020,中部電力,wikipedia_ja,2026-04-11 23:43:54
9503,95030,関西電力,wikipedia_ja,2026-04-11 23:43:54
9531,95310,東京ガス,wikipedia_ja,2026-04-11 23:43:54
9532,95320,大阪ガス,wikipedia_ja,2026-04-11 23:43:54
2413,24130,エムスリー,wikipedia_ja,2026-04-11 23:43:54
2432,24320,ディー・エヌ・エー,wikipedia_ja,2026-04-11 23:43:54
3659,36590,ネクソン,wikipedia_ja,2026-04-11 23:43:54
3697,36970,SHIFT,wikipedia_ja,2026-04-11 23:43:54
4307,43070,野村総合研究所,wikipedia_ja,2026-04-11 23:43:54
4324,43240,電通グループ,wikipedia_ja,2026-04-11 23:43:54
4385,43850,メルカリ,wikipedia_ja,2026-04-11 23:43:54
4661,46610,オリエンタルランド,wikipedia_ja,2026-04-11 23:43:54
4689,46890,LINEヤフー,wikipedia_ja,2026-04-11 23:43:54
4704,47040,トレンドマイクロ,wikipedia_ja,2026-04-11 23:43:54
4751,47510,サイバーエージェント,wikipedia_ja,2026-04-11 23:43:54
4755,47550,楽天,wikipedia_ja,2026-04-11 23:43:54
6098,60980,リクルートホールディングス,wikipedia_ja,2026-04-11 23:43:54
6178,61780,日本郵政,wikipedia_ja,2026-04-11 23:43:54
6532,65320,ベイカレント,wikipedia_ja,2026-04-11 23:43:54
7974,79740,任天堂,wikipedia_ja,2026-04-11 23:43:54
9602,96020,東宝,wikipedia_ja,2026-04-11 23:43:54
9735,97350,セコム,wikipedia_ja,2026-04-11 23:43:54
9766,97660,コナミグループ,wikipedia_ja,2026-04-11 23:43:54
