pair_id,leader_code,leader_name,follower_code,follower_name,pair_type,relationship,dependency_pct,via_code,via_name,source
D_3774_3909,3774,インターネットイニシアティブ,3909,株式会社ショーケース,direct,株式会社ショーケースの売上20.3%がインターネットイニシアティブに依存,20.3,,,edinet_yuho_2025
D_2338_3920,2338,クオンタムソリューションズ,3920,アイビーシー株式会社,direct,アイビーシー株式会社の売上10.0%がクオンタムソリューションズに依存,10.0,,,edinet_yuho_2025
D_7217_3932,7217,テイン,3932,株式会社アカツキ,direct,株式会社アカツキの売上70.3%がテインに依存,70.3,,,edinet_yuho_2025
D_4849_3940,4849,エン,3940,株式会社ノムラシステムコーポレーション,direct,株式会社ノムラシステムコーポレーションの売上10.7%がエンに依存,10.7,,,edinet_yuho_2025
D_8247_3948,8247,大和,3948,光ビジネスフォーム株式会社,direct,光ビジネスフォーム株式会社の売上12.3%が大和に依存,12.3,,,edinet_yuho_2025
D_2269_3992,2269,明治ホールディングス,3992,株式会社ニーズウェル,direct,株式会社ニーズウェルの売上11.4%が明治ホールディングスに依存,11.4,,,edinet_yuho_2025
D_8031_4028,8031,三井物産,4028,石原産業株式会社,direct,石原産業株式会社の売上12.3%が三井物産に依存,12.3,,,edinet_yuho_2025
D_8012_4028,8012,長瀬産業,4028,石原産業株式会社,direct,石原産業株式会社の売上10.5%が長瀬産業に依存,10.5,,,edinet_yuho_2025
D_300A_4062,300A,ＭＩＣ,4062,イビデン株式会社,direct,イビデン株式会社の売上11.0%がＭＩＣに依存,11.0,,,edinet_yuho_2025
D_4005_4120,4005,住友化学,4120,スガイ化学工業株式会社,direct,スガイ化学工業株式会社の売上17.9%が住友化学に依存,17.9,,,edinet_yuho_2025
D_3402_4124,3402,東レ,4124,大阪油化工業株式会社,direct,大阪油化工業株式会社の売上30.3%が東レに依存,30.3,,,edinet_yuho_2025
D_8053_4124,8053,住友商事,4124,大阪油化工業株式会社,direct,大阪油化工業株式会社の売上15.8%が住友商事に依存,15.8,,,edinet_yuho_2025
D_5020_4124,5020,ＥＮＥＯＳホールディングス,4124,大阪油化工業株式会社,direct,大阪油化工業株式会社の売上11.9%がＥＮＥＯＳホールディングスに依存,11.9,,,edinet_yuho_2025
D_AAPL_4174,AAPL,Apple,4174,株式会社アピリッツ,direct,株式会社アピリッツの売上11.2%がAppleに依存,11.2,,,edinet_yuho_2025
D_4185_4187,4185,JSR,4187,大阪有機化学工業株式会社,direct,大阪有機化学工業株式会社の売上13.7%がJSRに依存,13.7,,,edinet_yuho_2025
